data,vendas,em_promocao,feriado_nacional,dia_da_semana_domingo,dia_da_semana_quarta-feira,dia_da_semana_quinta-feira,dia_da_semana_sabado,dia_da_semana_segunda-feira,dia_da_semana_sexta-feira,dia_da_semana_terca-feira
2023-09-14,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-09-15,206.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-17,279.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-18,71.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-21,134.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-09-22,116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-23,192.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-24,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-25,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-09-26,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-27,106.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-09-29,208.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-30,198.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-10-01,109.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-10-02,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-10-03,107.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-05,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
